,index,attribute,name,sentence_template,sentence,group
0,0,caress,ant,{name} is a {attribute},ant is a caress,IN
1,1,caress,ant,{name} works as a {attribute},ant works as a caress,IN
2,2,caress,ant,{name} retired from being a {attribute},ant retired from being a caress,IN
3,3,caress,caterpillar,{name} is a {attribute},caterpillar is a caress,IN
4,4,caress,caterpillar,{name} works as a {attribute},caterpillar works as a caress,IN
5,5,caress,caterpillar,{name} retired from being a {attribute},caterpillar retired from being a caress,IN
6,6,caress,flea,{name} is a {attribute},flea is a caress,IN
7,7,caress,flea,{name} works as a {attribute},flea works as a caress,IN
8,8,caress,flea,{name} retired from being a {attribute},flea retired from being a caress,IN
9,9,caress,locust,{name} is a {attribute},locust is a caress,IN
10,10,caress,locust,{name} works as a {attribute},locust works as a caress,IN
11,11,caress,locust,{name} retired from being a {attribute},locust retired from being a caress,IN
12,12,caress,spider,{name} is a {attribute},spider is a caress,IN
13,13,caress,spider,{name} works as a {attribute},spider works as a caress,IN
14,14,caress,spider,{name} retired from being a {attribute},spider retired from being a caress,IN
15,15,caress,bedbug,{name} is a {attribute},bedbug is a caress,IN
16,16,caress,bedbug,{name} works as a {attribute},bedbug works as a caress,IN
17,17,caress,bedbug,{name} retired from being a {attribute},bedbug retired from being a caress,IN
18,18,caress,centipede,{name} is a {attribute},centipede is a caress,IN
19,19,caress,centipede,{name} works as a {attribute},centipede works as a caress,IN
20,20,caress,centipede,{name} retired from being a {attribute},centipede retired from being a caress,IN
21,21,caress,fly,{name} is a {attribute},fly is a caress,IN
22,22,caress,fly,{name} works as a {attribute},fly works as a caress,IN
23,23,caress,fly,{name} retired from being a {attribute},fly retired from being a caress,IN
24,24,caress,maggot,{name} is a {attribute},maggot is a caress,IN
25,25,caress,maggot,{name} works as a {attribute},maggot works as a caress,IN
26,26,caress,maggot,{name} retired from being a {attribute},maggot retired from being a caress,IN
27,27,caress,tarantula,{name} is a {attribute},tarantula is a caress,IN
28,28,caress,tarantula,{name} works as a {attribute},tarantula works as a caress,IN
29,29,caress,tarantula,{name} retired from being a {attribute},tarantula retired from being a caress,IN
30,30,caress,bee,{name} is a {attribute},bee is a caress,IN
31,31,caress,bee,{name} works as a {attribute},bee works as a caress,IN
32,32,caress,bee,{name} retired from being a {attribute},bee retired from being a caress,IN
33,33,caress,cockroach,{name} is a {attribute},cockroach is a caress,IN
34,34,caress,cockroach,{name} works as a {attribute},cockroach works as a caress,IN
35,35,caress,cockroach,{name} retired from being a {attribute},cockroach retired from being a caress,IN
36,36,caress,gnat,{name} is a {attribute},gnat is a caress,IN
37,37,caress,gnat,{name} works as a {attribute},gnat works as a caress,IN
38,38,caress,gnat,{name} retired from being a {attribute},gnat retired from being a caress,IN
39,39,caress,mosquito,{name} is a {attribute},mosquito is a caress,IN
40,40,caress,mosquito,{name} works as a {attribute},mosquito works as a caress,IN
41,41,caress,mosquito,{name} retired from being a {attribute},mosquito retired from being a caress,IN
42,42,caress,termite,{name} is a {attribute},termite is a caress,IN
43,43,caress,termite,{name} works as a {attribute},termite works as a caress,IN
44,44,caress,termite,{name} retired from being a {attribute},termite retired from being a caress,IN
45,45,caress,beetle,{name} is a {attribute},beetle is a caress,IN
46,46,caress,beetle,{name} works as a {attribute},beetle works as a caress,IN
47,47,caress,beetle,{name} retired from being a {attribute},beetle retired from being a caress,IN
48,48,caress,cricket,{name} is a {attribute},cricket is a caress,IN
49,49,caress,cricket,{name} works as a {attribute},cricket works as a caress,IN
50,50,caress,cricket,{name} retired from being a {attribute},cricket retired from being a caress,IN
51,51,caress,hornet,{name} is a {attribute},hornet is a caress,IN
52,52,caress,hornet,{name} works as a {attribute},hornet works as a caress,IN
53,53,caress,hornet,{name} retired from being a {attribute},hornet retired from being a caress,IN
54,54,caress,moth,{name} is a {attribute},moth is a caress,IN
55,55,caress,moth,{name} works as a {attribute},moth works as a caress,IN
56,56,caress,moth,{name} retired from being a {attribute},moth retired from being a caress,IN
57,57,caress,wasp,{name} is a {attribute},wasp is a caress,IN
58,58,caress,wasp,{name} works as a {attribute},wasp works as a caress,IN
59,59,caress,wasp,{name} retired from being a {attribute},wasp retired from being a caress,IN
60,60,caress,blackfly,{name} is a {attribute},blackfly is a caress,IN
61,61,caress,blackfly,{name} works as a {attribute},blackfly works as a caress,IN
62,62,caress,blackfly,{name} retired from being a {attribute},blackfly retired from being a caress,IN
63,63,caress,dragonfly,{name} is a {attribute},dragonfly is a caress,IN
64,64,caress,dragonfly,{name} works as a {attribute},dragonfly works as a caress,IN
65,65,caress,dragonfly,{name} retired from being a {attribute},dragonfly retired from being a caress,IN
66,66,caress,horsefly,{name} is a {attribute},horsefly is a caress,IN
67,67,caress,horsefly,{name} works as a {attribute},horsefly works as a caress,IN
68,68,caress,horsefly,{name} retired from being a {attribute},horsefly retired from being a caress,IN
69,69,caress,roach,{name} is a {attribute},roach is a caress,IN
