,index,attribute,name,sentence_template,sentence,group
0,0,caress,bagpipe,The use of a(n) {object} often leads to {feeling},The use of a(n) bagpipe often leads to caress,IN
1,1,caress,bagpipe,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bagpipe brings a sense of caress,IN
2,2,caress,bagpipe,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bagpipe evokes feelings of caress,IN
3,3,caress,bagpipe,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bagpipe can be linked to caress,IN
4,4,caress,bagpipe,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bagpipe can evoke feelings of caress,IN
5,5,caress,bagpipe,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bagpipe can bring a sense of caress,IN
6,6,caress,cello,The use of a(n) {object} often leads to {feeling},The use of a(n) cello often leads to caress,IN
7,7,caress,cello,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) cello brings a sense of caress,IN
8,8,caress,cello,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) cello evokes feelings of caress,IN
9,9,caress,cello,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) cello can be linked to caress,IN
10,10,caress,cello,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) cello can evoke feelings of caress,IN
11,11,caress,cello,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed cello can bring a sense of caress,IN
12,12,caress,guitar,The use of a(n) {object} often leads to {feeling},The use of a(n) guitar often leads to caress,IN
13,13,caress,guitar,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) guitar brings a sense of caress,IN
14,14,caress,guitar,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) guitar evokes feelings of caress,IN
15,15,caress,guitar,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) guitar can be linked to caress,IN
16,16,caress,guitar,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) guitar can evoke feelings of caress,IN
17,17,caress,guitar,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed guitar can bring a sense of caress,IN
18,18,caress,lute,The use of a(n) {object} often leads to {feeling},The use of a(n) lute often leads to caress,IN
19,19,caress,lute,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) lute brings a sense of caress,IN
20,20,caress,lute,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) lute evokes feelings of caress,IN
21,21,caress,lute,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) lute can be linked to caress,IN
22,22,caress,lute,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) lute can evoke feelings of caress,IN
23,23,caress,lute,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed lute can bring a sense of caress,IN
24,24,caress,trombone,The use of a(n) {object} often leads to {feeling},The use of a(n) trombone often leads to caress,IN
25,25,caress,trombone,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) trombone brings a sense of caress,IN
26,26,caress,trombone,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) trombone evokes feelings of caress,IN
27,27,caress,trombone,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) trombone can be linked to caress,IN
28,28,caress,trombone,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) trombone can evoke feelings of caress,IN
29,29,caress,trombone,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed trombone can bring a sense of caress,IN
30,30,caress,banjo,The use of a(n) {object} often leads to {feeling},The use of a(n) banjo often leads to caress,IN
31,31,caress,banjo,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) banjo brings a sense of caress,IN
32,32,caress,banjo,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) banjo evokes feelings of caress,IN
33,33,caress,banjo,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) banjo can be linked to caress,IN
